transaction_id,transaction_date,account_id,account_name,source_amount,reported_amount,transaction_type,region,status
TXN-1001,2024-01-03,ACC-201,Acme Corp,15200.00,15200.00,WIRE,West,MATCHED
TXN-1002,2024-01-03,ACC-202,Beta LLC,8750.50,8750.50,ACH,East,MATCHED
TXN-1003,2024-01-04,ACC-203,Gamma Inc,32100.00,31900.00,WIRE,West,MISMATCH
TXN-1004,2024-01-04,ACC-204,Delta Co,4200.00,4200.00,ACH,Central,MATCHED
TXN-1005,2024-01-05,ACC-205,Epsilon Ltd,19875.25,19875.25,WIRE,East,MATCHED
TXN-1006,2024-01-05,ACC-201,Acme Corp,7300.00,NULL,ACH,West,MISSING
TXN-1007,2024-01-06,ACC-206,Zeta Partners,55000.00,55000.00,WIRE,Central,MATCHED
TXN-1008,2024-01-06,ACC-203,Gamma Inc,12450.75,12450.75,ACH,West,MATCHED
TXN-1009,2024-01-07,ACC-207,Eta Group,9800.00,9980.00,WIRE,East,MISMATCH
TXN-1010,2024-01-07,ACC-208,Theta Corp,22300.00,22300.00,ACH,Central,MATCHED
TXN-1011,2024-01-08,ACC-202,Beta LLC,16500.00,16500.00,WIRE,East,MATCHED
TXN-1012,2024-01-08,ACC-209,Iota Inc,3100.50,NULL,ACH,West,MISSING
TXN-1013,2024-01-09,ACC-210,Kappa LLC,41200.00,41200.00,WIRE,Central,MATCHED
TXN-1014,2024-01-09,ACC-204,Delta Co,8900.00,8900.00,ACH,Central,MATCHED
TXN-1015,2024-01-10,ACC-205,Epsilon Ltd,27650.00,27650.00,WIRE,East,MATCHED
TXN-1016,2024-01-10,ACC-206,Zeta Partners,6200.00,6400.00,ACH,Central,MISMATCH
TXN-1017,2024-01-11,ACC-201,Acme Corp,33100.00,33100.00,WIRE,West,MATCHED
TXN-1018,2024-01-11,ACC-207,Eta Group,5500.25,5500.25,ACH,East,MATCHED
TXN-1019,2024-01-12,ACC-208,Theta Corp,18200.00,NULL,WIRE,Central,MISSING
TXN-1020,2024-01-12,ACC-210,Kappa LLC,11300.00,11300.00,ACH,Central,MATCHED
